Product Name,Product Use Case / What it is about,Target Group,Date,Sku 
Daily Gut 3.0 + Silhouette,Nourishes the microbiome and reduces water retention using 16 billion bacteria and Cactinea™.,"Women seeking gut balance and a ""lighter"" silhouette.",May 2026,
Daily Gut 3.0 (All Flavors),A major upgrade to the bestselling gut powder with 16 billion bacteria and more natural taste.,Health-conscious individuals focused on daily gut microbiota support.,March 2026,
Daily Gut + Premium Reds (3.0),"Premium ""all-in-one"" gut powder with 21 billion bacteria, 7 red superfruits, and digestive enzymes.",People seeking maximum gut and digestive enzyme support.,April/May 2026,
Daily Gut + Premium Reds (2.0),"Premium upgrade featuring 18 billion bacterial strains and 7 ""reds"".","Consumers wanting a high-end, all-in-one gut health solution.",July 2024,
Daily Gut + Immunity,Limited edition ginger-lemon gut powder with added vitamins C/D and adaptogenic mushrooms for winter support.,Health-conscious adults (25–45) looking to strengthen immunity in winter.,August 2025,
Daily Creatine + Electrolytes,Combines creatine for mental and physical energy with electrolytes for hydration.,Active individuals and women struggling with low energy.,October 2025,
Sleep Spray Strong,"Oromucosal spray with 2mg melatonin, ashwagandha, and lavender to reduce time to fall asleep.","Stressed professionals, travelers (jet lag), and shift workers.",September 2025,
Daily Collagen Latte Style (Mocha),Fish-collagen based latte powder for skin hydration and beauty with a café-inspired mocha flavor.,Millennials and Gen Z women focused on beauty-from-within.,September 2025,
Whey Digest Protein,Premium whey isolate/concentrate blend with lactase and digestive enzymes to prevent bloating.,Sporty women and individuals sensitive to lactose.,November 2025,
Summer Collagen,Mango-maracuja collagen powder with antioxidants to protect skin from UV damage and support a tan.,"Women seeking to maintain a ""summer glow"" and protect skin from within.",June 2025,
Daily Gut Creamy (Matcha),Creamy gut-brain axis and immune support powder featuring 12 billion bacteria and rice protein.,"Healthy adults over 18, particularly women, interested in mood and gut health.",July 2025,
Recharge,Post-workout amino acid mix with ashwagandha and minerals for faster muscle recovery.,Sporty individuals needing to replenish metabolites after intense training.,June 2025,
Vegan Glow + Clear Protein,"Vegan collagen booster with pea protein, amino acids, and beauty vitamins.","Vegan consumers seeking radiant skin, hair, and nails.",March 2025,
Daily Collagen (Neutral),100% bovine collagen hydrolysate from grass-fed cattle for youthful skin and healthy joints.,"Individuals over 18 wanting to improve skin, hair, and joint health.",March 2025,
Premium Greens,"Comprehensive daily nutritional foundation with 35+ ingredients (fruits, veggies, vitamins).",Everyone seeking an all-in-one foundational health supplement.,December 2024,
Daily Fiber 2.0,Updated fiber powder with 9 fiber sources (including Inavea™) and chromium for blood sugar management.,Individuals focused on weight management and regular digestion.,August 2024,
Be Complete,Premium all-in-one nutritional foundation with separate sachets for greens and bacteria.,Health-conscious individuals seeking a complete daily nutrient boost.,September 2024,
Daily Glow 2.0,"Raspberry-lemon beauty powder with bioactive collagen, CoQ10, and antioxidants.",Women (95% of target) seeking radiant skin and healthy hair/nails.,June 2024,
Gut Restore Kapseln,"Premium 3-in-1 synbiotic (pre-, pro-, and postbiotics) for intensive gut recovery.","Consumers needing to restore their microbiome (e.g., after antibiotics).",June 2024,
Vegan Protein,High-quality plant-based protein with digestive enzymes to avoid bloating.,Influencers and customers seeking an easy-to-digest vegan protein.,November 2024,
Magnesium Komplex,Clean capsule supplement with 4 organic forms of magnesium for high bioavailability.,"Individuals requiring muscle, nerve, and energy support without stomach irritation.",February 2024,
PMS Gummies,Sugar-free raspberry-melissa gummies with Vitamin B6 to regulate hormonal activity.,Menstruating women seeking natural relief from typical PMS symptoms.,February 2024,
Mood 2.0,Serotonin booster with L-tryptophan and adaptogens for vital mind and psychological function.,"Stressed or exhausted people, office athletes, and those with ""winter blues"".",January 2023,
Hydrate Drink,Low-waste electrolyte and vitamin drink for daily hydration.,"Gamers, students, and active people focused on ""clever hydration"".",May 2023,
Daily Glow / Collagen,Initial version of the raspberry beauty drink for inner and outer radiance.,Existing Daily Gut customers and people wanting a glow from within.,November 2022,
Daily Gut Pulver (Original),Foundational gut powder with 9 bacteria strains and vitamins B6/B12.,Everyone wanting a daily morning routine for gut health and mood.,May 2022,
Happy Gummies (B-Happy),Tropical-flavored gummies with 5-HTP and B-vitamins for a mood boost.,Younger consumers preferring gummies over capsules for well-being.,June 2021,
Gut Care Kapseln,Foundations for a healthy microbiome with 20 bacterial strains (20 billion CFU).,People establishing a foundational gut microbiome or recovering from illness.,June 2021,
Be Complete,"A premium ""all-in-one"" morning foundation using Ashwagandha (KSM-66®), Reishi, and Cordyceps to support mood, calm, and physical energy.",Health-conscious individuals seeking a complete nutritional daily routine.,September 2024,
Wild Brew (Mushroom Coffee),Functional coffee blend featuring Lion’s Mane and Chaga mushrooms for enhanced focus without the jitters.,"Students, high-performers, and trendsetters looking for mental clarity.",January 2021,
Ashwagandha Kapseln,Pure adaptogen supplement designed to help the body manage stress and support hormonal balance.,Stressed professionals and those seeking better emotional resilience.,Part of 2022 rituals,
Sleep Spray Strong,An oral spray combining melatonin with Ashwagandha and lavender to help reduce the time it takes to fall asleep.,"Stressed people, travelers with jet lag, and shift workers.",September 2025,
Recharge,"Post-workout recovery mix featuring Ashwagandha, minerals, and amino acids to support muscle repair and reduce cortisol.",Athletes and gym-goers focused on recovery after intense training.,June 2025,
Hormone Balance,A foundational supplement specifically formulated to support female hormonal health and cycles.,Women seeking long-term hormonal regulation.,Often combined with PMS Gummies,
Daily Fiber 2.0,Updated fiber powder with 9 sources (Inavea™) and chromium to support blood sugar and long-term weight management.,Consumers focused on satiety and metabolic health.,August 2024,
Daily Collagen Latte (Mocha),"Café-style latte powder with fish collagen designed for skin hydration and a ""beauty boost"".","Gen Z and Millennial women interested in ""beauty-from-within"".",September 2025,
Hydrate Drink,Low-waste electrolyte and vitamin drink mix for daily hydration and mental performance.,"Students, gamers, and active people needing ""clever"" daily hydration.",May 2023,
